"event_id","game_num","tms","E1","E2","E3","E4","E5","E6","E7","E8","E9","E10","EE","score","tms_opp","E1_opp","E2_opp","E3_opp","E4_opp","E5_opp","E6_opp","E7_opp","E8_opp","E9_opp","E10_opp","EE_opp","score_opp","ends","H1","H2","H3","H4","H5","H6","H7","H8","H9","H10","HEE"
"3838","1","96615","3","0","0","2","0","3",NULL,NULL,NULL,NULL,NULL,"8","96621","0","2","0","0","1","0",NULL,NULL,NULL,NULL,NULL,"3","8","1","0","1","1","0","1","0",NULL,NULL,NULL,NULL
"3838","2","96614","1","0","0","2","0","4","0","0",NULL,NULL,NULL,"7","96618","0","1","1","0","1","0","2","1",NULL,NULL,NULL,"6","8","1","0","1","1","0","1","0","1","1",NULL,NULL
"3838","3","96622","1","1","3","0","1","1",NULL,NULL,NULL,NULL,NULL,"7","96623","0","0","0","2","0","0",NULL,NULL,NULL,NULL,NULL,"2","8","0","0","0","0","1","0","0",NULL,NULL,NULL,NULL
"3838","4","96616","1","0","1","0","3","0","0",NULL,NULL,NULL,NULL,"5","96610","0","4","0","2","0","0","4",NULL,NULL,NULL,NULL,"10","8","1","0","1","0","1","0","1","1",NULL,NULL,NULL
"3838","5","96611","0","2","2","0","2","0","0","1",NULL,NULL,NULL,"7","96620","2","0","0","1","0","1","1","0",NULL,NULL,NULL,"5","8","1","1","0","0","1","0","1","1","0",NULL,NULL
"3838","6","96617","1","1","0","1","1","2",NULL,NULL,NULL,NULL,NULL,"6","96609","0","0","1","0","0","0",NULL,NULL,NULL,NULL,NULL,"1","8","1","0","0","1","0","0","0",NULL,NULL,NULL,NULL
"3838","7","96619","2","0","0","0","1","0","2","2",NULL,NULL,"0","7","96621","0","2","1","3","0","1","0","0",NULL,NULL,"1","8","8","1","0","1","1","1","0","1","0","0",NULL,"0"
"3838","8","96608","1","1","0","0","4","0","2",NULL,NULL,NULL,NULL,"8","96618","0","0","1","1","0","2","0",NULL,NULL,NULL,NULL,"4","8","0","0","0","1","1","0","1","0",NULL,NULL,NULL
"3838","9","96613","0","2","0","3","0","4",NULL,NULL,NULL,NULL,NULL,"9","96623","0","0","3","0","1","0",NULL,NULL,NULL,NULL,NULL,"4","8","1","1","0","1","0","1","0",NULL,NULL,NULL,NULL
"3838","10","96615","0","2","0","3","0","4",NULL,NULL,NULL,NULL,NULL,"9","96610","0","0","1","0","1","0",NULL,NULL,NULL,NULL,NULL,"2","8","0","0","0","1","0","1","0",NULL,NULL,NULL,NULL
