"event_id","Date","Draw","Game","team_id","W","E1","E2","E3","E4","E5","E6","E7","E8","E9","E10","EE","Total","team_id.opp","E1.opp","E2.opp","E3.opp","E4.opp","E5.opp","E6.opp","E7.opp","E8.opp","E9.opp","E10.opp","EE.opp","Total.opp","H1","H2","H3","H4","H5","H6","H7","H8","H9","H10","HEE"
194,"2019-09-29",1,1,1149,"L",0,1,0,0,0,2,0,0,NULL,NULL,NULL,3,24,0,0,2,2,0,0,0,1,NULL,NULL,NULL,5,1,1,0,1,1,1,0,0,NULL,NULL,1
194,"2019-09-29",1,2,659,"W",0,1,0,0,0,2,0,1,NULL,NULL,1,5,656,0,0,0,1,1,0,2,0,NULL,NULL,0,4,1,1,0,0,1,1,0,1,NULL,NULL,0
194,"2019-09-29",1,3,1151,"L",0,0,2,0,1,0,1,0,NULL,NULL,NULL,4,39,1,0,0,2,0,1,0,1,NULL,NULL,NULL,5,1,1,1,0,1,0,1,0,NULL,NULL,1
194,"2019-09-29",1,4,387,"L",2,0,0,1,1,0,2,0,NULL,NULL,NULL,6,172,0,1,2,0,0,2,0,2,NULL,NULL,NULL,7,1,0,1,1,0,0,1,0,NULL,NULL,1
194,"2019-09-30",3,1,39,"W",0,0,1,1,0,0,1,NULL,NULL,NULL,NULL,3,387,0,1,0,0,0,0,0,NULL,NULL,NULL,NULL,1,1,1,1,0,0,0,0,0,NULL,NULL,NULL
194,"2019-09-30",3,2,1151,"W",0,2,0,1,0,2,0,1,NULL,NULL,NULL,6,651,1,0,1,0,1,0,2,0,NULL,NULL,NULL,5,1,1,0,1,0,1,0,1,NULL,NULL,0
194,"2019-09-30",3,3,656,"L",0,0,1,0,0,3,0,0,NULL,NULL,NULL,4,24,1,0,0,1,2,0,2,2,NULL,NULL,NULL,8,1,1,1,0,1,1,0,1,NULL,NULL,1
194,"2019-09-30",3,4,410,"W",0,1,2,2,0,3,NULL,NULL,NULL,NULL,NULL,8,1149,0,0,0,0,1,0,NULL,NULL,NULL,NULL,NULL,1,1,1,0,0,0,1,0,NULL,NULL,NULL,NULL
194,"2019-09-30",5,1,659,"L",0,1,0,1,0,2,0,1,NULL,NULL,NULL,5,410,1,0,1,0,1,0,3,0,NULL,NULL,NULL,6,1,1,0,1,0,1,0,1,NULL,NULL,0
194,"2019-09-30",5,2,1149,"W",3,0,1,0,0,0,3,NULL,NULL,NULL,NULL,7,656,0,1,0,0,2,1,0,NULL,NULL,NULL,NULL,4,1,0,1,0,0,1,1,0,NULL,NULL,NULL
